2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Гольф, ВК|Виадук, ВК; Длясои, ВК; Зета, ВРК; ПивАм, ВРК; Пивот, ВК; Ранголи-Прадо, ВРК; Сапфир, ВРК; Серп, ВРК; Солист, ВРК; Тапир, ВК; Тапирошанс, ВРК;
Гонор, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Горгон, ВРК|--
Гордон, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Горизонт, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Готика, КС|Куррито, КС; Молния Дуо, КЭ; Солам, КС; Эфория, КС;
Готланд, ВР|--
Граминион, КЭ|Граминион, КЭ 3360; 
Гранат, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гранбаз, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Гранд Плюс, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Грандсил Ультра, КС |--
Грандсил, КС|Раксон, КС; Стингер, КС; Тебу 60, МЭ; Тебузан, ТКС; Террасил, КС; Экономикс Колор, КС; АлтСил, КС; Бункер, ВСК; Доспех, КС; Редут, КС; Сфинкс, КС; Тебуконазол, КС; Фразол Классик, КС; 
Гранж, ВДГ|--
Гранилин, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гран-при, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гранстар Мега, ВДГ|--
Гранулам, ВДГ|--
Грануфло, ВДГ|Митар, ВДГ; 
Грасс, КС|Вождь, СК; Гардо Голд, КС; Гардо Голд, КС 2279; Ирвин, СЭ; Камелот, СЭ; Киборг, КС; Террагард, СЭ; Толазин, СЭ; Хевимет Голд, КС; 
Граунд, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Грейдер, ВГР|Арбонал, ВК; Ас, ВК; Шквал, ВК;
Гренадер, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гренни, КС|--
Гренч, СП|Аккурат, ВДГ; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Гризли, Г|Валлар, Г; Медвегон, Г; Мухоед, Г; Террадокс, Г; 
Гримс, ВДГ|Алтис, ВДГ; Арпад, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Цицерон, ВДГ; Шантус, ВДГ; 
Гринда, РП|Агент, ВДГ; Альфа-Амиприд, РП; Газель, РП; Моспилан, РП; Снейк, РП; 
Гроза-3, Г|Аксела, Г; Слизнеед Нео, Г; СтопУлит, Г; Хищник, Г;
Гром, Г|Гром-2, Г; 
Гром-2, Г|Гром, Г;
Громстор, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Грэмми, КС|Банко, КС; Браво, КС; Талант, СК;
Грэнери, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Гуапсин плюс, Ж|--
Губернатор, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Витара, ВР; Герб-480, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Гуд-Харвест Метамитрон, КС|Голтикс, ВРГ; Голтикс Голд, КС; Голтикс, КС; Конкистадор, ВДГ; Малахит, ВДГ; Мариус, КС; Метамир, ВДГ; Метарон, ВДГ; Метафол, СК; Метроном, КС; Минотавр, ВДГ; Митрон, КС; Пилот, ВСК; Ранголи-Метамитрон, КС; Скрин, КС; Шансомитрон, КС; 
Гуд-Харвест Пеноксулам 25, МД|Цитадель 25, МД;
Гуд-Харвест Свекольный Гербицид, КЭ |АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Гуд-Харвест С-Метолахлор, КЭ|Авангард, КЭ; Анаконда, КЭ; Бегин, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Метолс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ; Хевимет, КЭ;
